reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ef8fdd8f-9910-4186-935c-14b387835ba6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lag parah padahal sinyal bagus,1,0,25.2.4,2024-06-08 06:30:51,,,25.2.4
6489418e-2a58-4bf9-be62-ad396e67ba65,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nge ug,4,0,35.0.4,2024-06-08 06:29:55,,,35.0.4
6b32dbe4-e0a2-440a-8247-d1d749de5979,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat bagus dong tentunyaaa💯💯💯,5,0,34.5.6,2024-06-08 06:28:54,,,34.5.6
e5244b83-928f-48cf-bee8-59eefe231c84,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagys dan gampang ngedaptarin nya,5,0,,2024-06-08 06:28:52,,,
f65a8d42-6271-4605-8bdd-0e7b4cb861ae,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus² ajh,4,0,34.3.3,2024-06-08 06:26:25,,,34.3.3
288282be-8c78-4cf8-ab8a-67770f45477f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,👍👍👍👍,5,0,35.0.4,2024-06-08 06:25:32,,,35.0.4
e862d71f-83b5-40d1-be3e-16b9914c63a2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gak bisa di download tiktok nya,1,0,34.2.3,2024-06-08 06:24:40,,,34.2.3
5fd09be9-bdab-4a78-9867-325e5c363597,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap,5,0,34.8.4,2024-06-08 06:24:24,,,34.8.4
67f738b4-15c0-4c4e-84b7-117f963ff316,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tik tok kontollllllllllllll asal blok akun aja si anjingggggggg,1,0,27.7.0,2024-06-08 06:24:23,,,27.7.0
bd7c947e-fb5a-40b7-8394-a9e0d8ca18f5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Habib jr,5,0,,2024-06-08 06:23:57,,,
00d512c6-5a37-4f7b-bc9c-be1ecb4148fb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat membatu,5,0,,2024-06-08 06:21:20,,,
e5fb937d-2f8c-4339-8b68-271e68ab6980,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Asik banget kalau lagi mager Heheheh,5,0,,2024-06-08 06:19:12,,,
f7b94180-b764-40f1-8e6c-b5891d748805,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ga bisa download ft ny,4,0,35.0.4,2024-06-08 06:18:39,,,35.0.4
bef370b6-2614-4722-b78a-e91752f90ff1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasinya sangat baguss sekali saya sukaaa bangattt👍👍👍,5,0,,2024-06-08 06:18:32,,,
beb6b542-b183-4a08-9c5e-d6d571408e3d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,komen gelap pake dark mode,1,0,35.1.3,2024-06-08 06:17:21,,,35.1.3
bcc2eb9a-7628-458a-b057-722a2ff3db41,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tidak halal,1,0,,2024-06-08 06:16:47,,,
21cb7cab-7d75-4f05-90ab-b65f4e842770,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,setiap saya buka tiktok selalu aja ngeleg ada lagunya tapi gaadpa gambarnya,5,0,35.0.4,2024-06-08 06:16:15,,,35.0.4
db2ae0fe-f82c-4301-a56b-2f3915a60e16,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tentu bagus lah,2,0,33.7.3,2024-06-08 06:15:45,,,33.7.3
65f64d33-4997-495f-9355-652db4095c97,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gajelas panduan komunitas padahal konten normal,1,0,34.4.3,2024-06-08 06:14:07,,,34.4.3
740a3b04-366e-4f30-9152-32bf3e88645d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Seru sih tapi kenapa sih ga boleh pake nama bocil foto bocil selalu aja ke block kesel😖😡,5,0,,2024-06-08 06:12:48,,,
b6b3875c-4864-4bae-8dd8-7611b521a008,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus👍😍😊,5,0,25.9.4,2024-06-08 06:11:22,,,25.9.4
c3bcd1ec-951e-4a66-863a-72191d9a6f12,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tik tok itu bagus untuk berinspirasi,3,0,33.4.2,2024-06-08 06:10:54,,,33.4.2
231a9587-6420-4fed-94ae-afef100ef198,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ga main tik tok lagi gara gara akun gw ke blokir wkwkwk,1,0,35.1.3,2024-06-08 06:08:05,,,35.1.3
ade9ccd4-2093-497a-8582-9a933992d087,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap gan,5,0,31.4.3,2024-06-08 06:07:16,,,31.4.3
472dd106-f857-4a79-8919-ecbfec9f7653,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagusss bangettt, dan sampai saat ini ak masih nunggu tiktok update bisa VN,bisa telpon/vc,dll yng blm ada ditiktok!!",5,0,,2024-06-08 06:05:07,,,
776c6db7-b055-4271-bcb6-897442f06eed,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jngan lemot tiktok pliss,5,0,31.0.4,2024-06-08 06:04:12,,,31.0.4
80787e94-8036-4eb0-8b92-43904ec6b4ff,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Seru banget liat fyp yang lain,5,0,,2024-06-08 06:03:14,,,
a0c1ccf3-76e1-4fe9-ac1d-a81686ba915d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Akunku di blok terus, tapi masih bisa nonton sih...",3,0,35.1.2,2024-06-08 06:03:05,,,35.1.2
6f438271-26f9-4e1e-9be4-a24710c4866c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,pinjam dulu swrarus,5,0,35.0.4,2024-06-08 06:03:04,,,35.0.4
ef9d2f69-e8ed-4066-9638-eaf7e986e4f6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap,5,0,,2024-06-08 06:02:02,,,
