carat;cut;color;clarity;depth;table;price;x;y;z
23;Ideal;E;SI2;615;55;326;395;398;243
21;Premium;E;SI1;598;61;326;389;384;231
23;Good;E;VS1;569;65;327;405;407;231
29;Premium;I;VS2;624;58;334;42;423;263
31;Good;J;SI2;633;58;335;434;435;275
24;Very Good;J;VVS2;628;57;336;394;396;248
24;Very Good;I;VVS1;623;57;336;395;398;247
26;Very Good;H;SI1;619;55;337;407;411;253
22;Fair;E;VS2;651;61;337;387;378;249
23;Very Good;H;VS1;594;61;338;4;405;239
3;Good;J;SI1;64;55;339;425;428;273
23;Ideal;J;VS1;628;56;340;393;39;246
22;Premium;F;SI1;604;61;342;388;384;233
31;Ideal;J;SI2;622;54;344;435;437;271
2;Premium;E;SI2;602;62;345;379;375;227
32;Premium;E;I1;609;58;345;438;442;268
3;Ideal;I;SI2;62;54;348;431;434;268
3;Good;J;SI1;634;54;351;423;429;27
3;Good;J;SI1;638;56;351;423;426;271
3;Very Good;J;SI1;627;59;351;421;427;266
3;Good;I;SI2;633;56;351;426;43;271
23;Very Good;E;VS2;638;55;352;385;392;248
23;Very Good;H;VS1;61;57;353;394;396;241
31;Very Good;J;SI1;594;62;353;439;443;262
31;Very Good;J;SI1;581;62;353;444;447;259
23;Very Good;G;VVS2;604;58;354;397;401;241
24;Premium;I;VS1;625;57;355;397;394;247
3;Very Good;J;VS2;622;57;357;428;43;267
23;Very Good;D;VS2;605;61;357;396;397;24
23;Very Good;F;VS1;609;57;357;396;399;242
23;Very Good;F;VS1;60;57;402;4;403;241
23;Very Good;F;VS1;598;57;402;404;406;242
23;Very Good;E;VS1;607;59;402;397;401;242
23;Very Good;E;VS1;595;58;402;401;406;24
23;Very Good;D;VS1;619;58;402;392;396;244
23;Good;F;VS1;582;59;402;406;408;237
23;Good;E;VS1;641;59;402;383;385;246
31;Good;H;SI1;64;54;402;429;431;275
26;Very Good;D;VS2;608;59;403;413;416;252
33;Ideal;I;SI2;618;55;403;449;451;278
33;Ideal;I;SI2;612;56;403;449;45;275
33;Ideal;J;SI1;611;56;403;449;455;276
26;Good;D;VS2;652;56;403;399;402;261
26;Good;D;VS1;584;63;403;419;424;246
