publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-08T04:51:40Z,@meyyuningsih2578,Aduuuuhhh.....Gak tega dengar nya apa LG kalo.menysksikan.<br>Biadab zionis,0
2024-06-08T04:45:13Z,@DWA86,"Penyembah Gaza nyebar hoax<br>Kapan mati syahid, malah kabur balik Indonesia <br>Muslim munafik 😂😂😂😂😂😂",0
2024-06-08T04:21:53Z,@briantarex_,paham .. kulit di buang dalam di ambil . perampasan jiwa dan kehidupan 😊 .. <br>palestina harum... 😇😇,0
2024-06-08T04:17:40Z,@sonifirman2879,🇮🇩🇵🇸🇮🇩🇵🇸🇮🇩🇵🇸🇵🇸,0
2024-06-08T04:13:34Z,@ef5635,All eyes on Rafa ❤,0
2024-06-08T04:11:29Z,@ladyluwukalhasni9798,"biadab benar Perbuatan Isreal, anak2 tdk berdoa di ambil kulit nya💔😢 apa skin care mahal2 itu apakah juga dri hasil olahan kulit dri anak2 Palestine yg tdk berdosa itu..?💔",0
2024-06-08T03:46:59Z,@rullyprima4016,Kulil Hakko walaw Kana Murron ... Luar Biasa ...Mari Bersuara Untuk Kemanusiaan .<br>Menyala ....,0
2024-06-08T03:01:13Z,@kimlee7585,"Indonesia dan bahkan Dunia, kebanyakan orang Islam tapi Sedikit orang Beriman.",0
2024-06-08T01:14:18Z,@idriswu,Israel terlalu rasis dan genosida.. palestine adalah saudara kita. Save palestine,0
2024-06-08T01:02:59Z,@kolipalkolif4843,"Ya Alloh segera turunkan lah ahzab untuk Israel dan sekutunya, sungguh kami tidak sanggup lagi melihat kekejaman mereka, tolonglah rakyat Palestina yaAlloh😢",0
2024-06-08T00:54:20Z,@nadiranurulmubarakah9357,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=3740"">01:02:20</a> Insyaallah, Aamiin!",0
2024-06-08T00:13:13Z,@bello3884,Semoga bang hussein gaza selalu dlm perlindungan Allah SWT. Amiien<br>Free palestine❤❤❤,0
2024-06-07T22:53:18Z,@fransiscaerni4803,"Memang  gila  itu  zionis  Israel keparat, makanya  kok  aku  pernah  lihat  ada video  mayat mayat  warga  palestina dicuri dan dikembalikan  dalam kondisi sudah diambil  organ  tubuhnya ternyata  bener.",0
2024-06-07T21:08:50Z,@user-fd1sn2jx2d,"Apa disini masih ada yg jadi simpatisan ZIONIS ISRAHELL? <br>Kalo bener ada,1 kata buat kalian &quot;PECUNDANG&quot;",0
2024-06-07T18:26:16Z,@satriapermana4191,"Pendanaan terbesar dari Amerika sih,<br>Kalo Israel tersendiri gw rasa ga akan mampu,,<br>Jadi yg berdosa besar itu Amerika..<br>Tapi yg di bingung kan kenapa negara negara Islam diam saja??!!<br>Gw yakin kalo soal pendanaan negara negara islam mampu untuk perjuangan Israel.",1
2024-06-07T18:15:25Z,@puspitadewi8414,Istiqomah boikoott zion,0
2024-06-07T17:53:27Z,@RifkyBASSARY,Allahu akbar,0
2024-06-07T17:22:30Z,@cebonglucknut,si podcast anti apapun yg berhubungan dg habib Rizieq 😅😅,0
2024-06-07T16:54:10Z,@diyahekawati2702,"Merinding banget, kenapa orang jahat begitu hidup nya lama sihhh ya allahh",0
2024-06-07T16:39:13Z,@alfaith3,Siapa yang memberaktai israel..maka dia akan diberkati..wahai otten..,0
2024-06-07T15:55:09Z,@ntussinem690,"Saya baru paham knp negara2 di seluruh dunia antusias menyuarakan pembebasan Palestina,, ternyata jawabannya ini.. <br>Sekejam ini ternyata sesungguhnya Israel itu 😢<br>Seluruh Dunia sudah lebih mengetahui duluan,,cuma di Indonesia yg sebagian rakyatnya msh menutup mata,, padahal ada bnyk kontribusi Palestina ke Indonesia wktu jaman kemerdekaan dulu tpi mengapa msh ada ajj manusia2nya yg msh menutup hati dan mata kpda Palestina 😭<br>Abujandasampah",0
2024-06-07T13:07:40Z,@ulimaria940,Hey husein! Lu punya mulut ntar lgi bakal disobek sm Tuhan Krn sukanya nyebarin hoax tntang Israel!,0
2024-06-07T12:26:09Z,@wilhelmushubahenakinhuba8394,curiga .........misinya apa..?.....si anu ?  benarkah....kemanusiaan ??.......si anu pro nya lebih kemana yaah,0
2024-06-07T11:35:35Z,@yusufnasution7001,Skin manufacturing??? skin care maksud lu? 😏,0
2024-06-07T10:18:59Z,@rifatarozaan,"Pas om dedy nanya apa yang ustad husain kangenin di gaza, terus di jawab sama ustad husain <b>senyum anak anak gaza</b> itu gua nangis sumpah😭",0
2024-06-07T10:13:11Z,@samnymlbb8876,Ya Allah 😢,1
2024-06-07T09:35:16Z,@likac8195,"Dan sampai sekarang, masih ada netijen pro isrewel atau bisa jadi pembenci Islam yg mengetik &quot;di rafah itu hoax. Kematian warga sipil di gaza hoax.&quot;",0
2024-06-07T09:12:43Z,@yantogromang4948,Omong tidak jelas..!! Buta tuntun buta ini namanya..,0
